,val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,Unnamed: 6,i,filetype,seed,dataset,method,test_mcc,test_loss,test_step,val_acc,best_val_acc,test_acc,val_f1,val_acc_and_f1,Unnamed: 8,test_f1,test_acc_and_f1,val_pearson,val_spearmanr,val_corr,best_val_spearmanr,test_pearson,test_spearmanr,test_corr
43,0.518909,0.676022,0.535959,1.1e-05,0.248968,400.0,,4,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
44,0.555471,0.503038,0.555471,9e-06,0.255694,480.0,,5,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
45,0.506097,0.691673,0.555471,7e-06,0.207357,560.0,,6,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
46,0.529715,0.610138,0.555471,5e-06,0.126864,640.0,,7,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
47,0.543097,0.617696,0.555471,2e-06,0.137888,720.0,,8,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
48,0.541202,0.687542,0.555471,0.0,0.13526,800.0,,9,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
49,0.541202,0.687316,0.555471,0.0,0.099067,804.0,,10,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
50,,,,,,,,0,test_last_log,34,CoLA,standard_debiased,0.6331,0.6941,804.0,,,,,,,,,,,,,,,
51,,,,,,,,0,test_best_log,34,CoLA,standard_debiased,0.6281,0.6946,804.0,,,,,,,,,,,,,,,
52,0.459119,0.557131,0.459119,2e-05,0.579971,80.0,,0,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
53,0.507823,0.492494,0.507823,1.8e-05,0.460047,160.0,,1,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
54,0.554866,0.446967,0.554866,1.6e-05,0.424162,240.0,,2,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
55,0.564979,0.568511,0.564979,1.3e-05,0.314553,320.0,,3,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
56,0.615967,0.442505,0.615967,1.1e-05,0.258844,400.0,,4,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
57,0.581645,0.547165,0.615967,9e-06,0.242768,480.0,,5,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
58,0.60059,0.612857,0.615967,7e-06,0.195298,560.0,,6,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
59,0.580325,0.676123,0.615967,5e-06,0.138428,640.0,,7,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
60,0.595455,0.629643,0.615967,2e-06,0.123023,720.0,,8,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
61,0.600508,0.615701,0.615967,0.0,0.119153,800.0,,9,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
62,0.600508,0.616239,0.615967,0.0,0.098174,804.0,,10,raw_log,36,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
63,,,,,,,,0,test_last_log,36,CoLA,standard_debiased,0.6314,0.5624,804.0,,,,,,,,,,,,,,,
64,,,,,,,,0,test_best_log,36,CoLA,standard_debiased,0.6314,0.5595,804.0,,,,,,,,,,,,,,,
65,0.413842,0.549571,0.413842,2e-05,0.593699,80.0,,0,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
66,0.474564,0.497635,0.474564,1.8e-05,0.463885,160.0,,1,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
67,0.534983,0.453819,0.534983,1.6e-05,0.414707,240.0,,2,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
68,0.502864,0.645548,0.534983,1.3e-05,0.302986,320.0,,3,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
69,0.578087,0.411214,0.578087,1.1e-05,0.268027,400.0,,4,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
70,0.567559,0.602765,0.578087,9e-06,0.240818,480.0,,5,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
71,0.590461,0.60656,0.590461,7e-06,0.227361,560.0,,6,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
72,0.58531,0.596617,0.590461,5e-06,0.149529,640.0,,7,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
73,0.564979,0.721036,0.590461,2e-06,0.113931,720.0,,8,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
74,0.59039,0.638698,0.590461,0.0,0.130486,800.0,,9,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
75,0.59039,0.638661,0.590461,0.0,0.06063,804.0,,10,raw_log,27,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
76,,,,,,,,0,test_last_log,27,CoLA,standard_debiased,0.6555,0.6869,804.0,,,,,,,,,,,,,,,
77,,,,,,,,0,test_best_log,27,CoLA,standard_debiased,0.6555,0.6853,804.0,,,,,,,,,,,,,,,
78,0.366777,0.58773,0.366777,2e-05,0.600025,80.0,,0,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
79,0.436278,0.543632,0.436278,1.8e-05,0.467349,160.0,,1,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
80,0.535959,0.467746,0.535959,1.6e-05,0.38943,240.0,,2,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
81,0.595532,0.541315,0.595532,1.3e-05,0.319771,320.0,,3,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
