val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.565217,0.647000,0.565217,0.000020,0.789096,23.000000,
0.557971,0.647030,0.565217,0.000018,0.700762,46.000000,
0.623188,0.589686,0.623188,0.000016,0.685219,69.000000,
0.659420,0.566385,0.659420,0.000013,0.637018,92.000000,
0.681159,0.513338,0.681159,0.000011,0.562810,115.000000,
0.695652,0.468918,0.695652,0.000009,0.557294,138.000000,
0.695652,0.483367,0.695652,0.000007,0.551156,161.000000,
0.695652,0.475829,0.695652,0.000005,0.432985,184.000000,
0.724638,0.448893,0.724638,0.000003,0.400683,207.000000,
0.681159,0.452465,0.724638,0.000000,0.376697,230.000000,
0.681159,0.451801,0.724638,0.000000,0.436710,234.000000,
