val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.586957,0.675168,0.586957,0.000020,0.823194,23.000000,
0.579710,0.602750,0.586957,0.000018,0.689067,46.000000,
0.652174,0.619683,0.652174,0.000016,0.664543,69.000000,
0.637681,0.582093,0.652174,0.000013,0.600289,92.000000,
0.623188,0.613924,0.652174,0.000011,0.534627,115.000000,
0.644928,0.563486,0.652174,0.000009,0.568153,138.000000,
0.688406,0.550015,0.688406,0.000007,0.481413,161.000000,
0.652174,0.560745,0.688406,0.000005,0.385524,184.000000,
0.666667,0.581593,0.688406,0.000003,0.347654,207.000000,
0.666667,0.582979,0.688406,0.000000,0.340889,230.000000,
0.666667,0.582805,0.688406,0.000000,0.383484,234.000000,
