val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.814925,0.787353,0.801139,0.824032,0.787353,0.000020,4.236728,54.000000,
0.815235,0.834399,0.824817,0.922175,0.834399,0.000018,1.280492,108.000000,
0.854210,0.861747,0.857979,0.635680,0.861747,0.000016,1.315683,162.000000,
0.857575,0.863068,0.860321,0.639895,0.863068,0.000013,0.818091,216.000000,
0.884757,0.885175,0.884966,0.536255,0.885175,0.000011,0.623743,270.000000,
0.889894,0.890165,0.890030,0.481524,0.890165,0.000009,0.448217,324.000000,
0.894168,0.892816,0.893492,0.444677,0.892816,0.000007,0.451879,378.000000,
0.898559,0.897016,0.897787,0.435056,0.897016,0.000004,0.334148,432.000000,
0.898927,0.897565,0.898246,0.434013,0.897565,0.000002,0.311036,486.000000,
0.900110,0.898340,0.899225,0.429719,0.898340,0.000000,0.322638,540.000000,
